id_podmiotu;kod_pocztowy;miejscowosc;ulica;telefon_kontaktowy;adres_mail_kontaktowy;mieszkanie_prywatne;zgloszony_wynajem;kraj
PODMIOT_221;89-033;Piła;ul. Opolska;+ 48 4466827246;tprzerwa@example.com;Nie;Tak;Polish
PODMIOT_222;53-400;Jarocin;ul. Tylna;+ 48 9048652273;nnyk@example.org;Nie;Tak;Polish
PODMIOT_223;30-667;Malbork;ul. Borowa;+ 48 7974763697;wziatek.elzbieta@example.com;Tak;Nie;Polish
PODMIOT_224;55-837;Żory;ul. Szarych Szeregów;+ 48 6837719137;maurycy.pleskot@example.net;Nie;Tak;Polish
PODMIOT_225;16-230;Kętrzyn;ul. Okrezna;+ 48 2380660024;adam.matura@example.net;Tak;Tak;Polish
PODMIOT_226;03-863;Świętochłowice;ul. Wierzbowa;+ 48 1268332687;daniel.zachwieja@example.com;Tak;Tak;Polish
PODMIOT_227;07-959;Kutno;ul. Mostowa;+ 48 3532874937;kossak.marianna@example.com;Nie;Tak;Polish
PODMIOT_228;58-554;Kraśnik;ul. Plater;+ 48 3061666485;cyprian76@example.com;Nie;Tak;Polish
PODMIOT_229;37-693;Lubliniec;ul. Szewska;+ 48 3524030662;malwina.byra@example.org;Nie;Tak;Polish
PODMIOT_230;49-245;Konin;ul. Mlynska;+ 48 7891382273;dytko.ksawery@example.org;Tak;Tak;Polish
PODMIOT_231;19-359;Biała Podlaska;ul. Lakowa;+ 48 3086225188;groth.krystian@example.org;Tak;Tak;Polish
PODMIOT_232;61-991;Chełm;ul. Prosta;+ 48 6117051484;aurelia.fijak@example.com;Nie;Tak;Polish
PODMIOT_233;72-519;Mińsk Mazowiecki;ul. Morska;+ 48 6340698596;amaciuk@example.com;Nie;Tak;Polish
PODMIOT_234;98-617;Tychy;ul. Czestochowska;+ 48 5375806157;uwok@example.net;Nie;Tak;Polish
PODMIOT_235;12-578;Jarosław;ul. Porzeczkowa;+ 48 5773250879;chorazewicz.julianna@example.net;Tak;Nie;Polish
PODMIOT_236;59-908;Dzierżoniów;ul. Mila;+ 48 9021777260;mariusz.szumacher@example.com;Nie;Tak;Polish
PODMIOT_237;25-404;Wołomin;ul. Zdrojowa;+ 48 6645603261;roza.kubowicz@example.com;Nie;Tak;Polish
PODMIOT_238;45-008;Świnoujście;ul. Rejtana;+ 48 8265525723;agnieszka42@example.net;Tak;Nie;Polish
PODMIOT_239;89-143;Kłodzko;ul. Milosza;+ 48 3373855217;kamila97@example.com;Nie;Tak;Polish
PODMIOT_240;13-663;Iława;ul. Powstanców Wielkopolskich;+ 48 8842399224;ada.kucab@example.net;Tak;Nie;Polish
PODMIOT_241;87-023;Wałcz;ul. Zakole;+ 48 4625322393;burza.wiktor@example.org;Tak;Tak;Polish
PODMIOT_242;08-649;Ostrów Mazowiecka;ul. Pszenna;+ 48 9948460200;ciuba.kamila@example.org;Tak;Tak;Polish
PODMIOT_243;61-849;Tarnowskie Góry;ul. Skosna;+ 48 3817713339;borys.druszcz@example.com;Nie;Tak;Polish
PODMIOT_244;61-231;Starachowice;ul. Czarnieckiego;+ 48 9531591689;urszula18@example.net;Nie;Tak;Polish
PODMIOT_245;84-867;Żory;ul. Kasztanowa;+ 48 1795348676;koloch.kornelia@example.com;Nie;Tak;Polish
PODMIOT_246;85-316;Żagań;ul. Morelowa;+ 48 4410768567;tomasz.faltyn@example.org;Tak;Tak;Polish
PODMIOT_247;27-721;Łódź;ul. Gajowa;+ 48 7715493490;witold16@example.net;Nie;Tak;Polish
PODMIOT_248;88-231;Suwałki;ul. Jaworowa;+ 48 9227903569;iwo.langa@example.net;Nie;Tak;Polish
PODMIOT_249;33-698;Wejherowo;ul. Rolna;+ 48 3523361668;bfaferek@example.org;Tak;Tak;Polish
PODMIOT_250;67-083;Gniezno;ul. Radosna;+ 48 8272343416;gwejman@example.net;Nie;Tak;Polish
